gene	ncbi_gene_id	protein_id	uniprot_id	ncbi_description	annotation	pfam
MYCTH_102290	ncbi-geneid:11506149	XP_003664621	up:G2QGB6	dehydrogenase-like protein	Enoyl-(Acyl carrier protein) reductase	AhpC-TSA_2,adh_short_C2
MYCTH_102295	ncbi-geneid:11506142	XP_003664614	up:G2QGA9	hypothetical protein	Carbon-nitrogen hydrolase(NIT2)	CN_hydrolase
MYCTH_102297	ncbi-geneid:11506140	XP_003664612	up:G2QGA7	hypothetical protein	Cysteine-rich secreted protein	-
MYCTH_102322	ncbi-geneid:11506107	XP_003664579	up:G2QG74	polysaccharide lyase family 3 protein	Pectate lyase	Pectate_lyase
MYCTH_102448	ncbi-geneid:11514359	XP_003664416	up:G2QFE2	hypothetical protein	-	-
MYCTH_102510	ncbi-geneid:11514203	XP_003664338	up:G2QF64	hypothetical protein	Cupin-like domain	Cupin_8
MYCTH_102522	ncbi-geneid:11514109	XP_003664322	up:G2QF48	glycoside hydrolase family 55 protein	Pectate lyase superfamily protein	Pectate_lyase_3
MYCTH_102533	ncbi-geneid:11514098	XP_003664311	up:G2QF37	hypothetical protein	-	-
MYCTH_102652	ncbi-geneid:11513805	XP_003664174	up:G2QHR9	hypothetical protein	-	-
MYCTH_102790	ncbi-geneid:11513490	XP_003664015	up:G2QHB0	hypothetical protein	Tht1-like nuclear fusion protein	Tht1
MYCTH_102792	ncbi-geneid:11513487	XP_003664012	up:G2QHA7	hypothetical protein	Lactonase, 7-bladed beta-propeller	Lactonase
MYCTH_102797	ncbi-geneid:11513480	XP_003664005	up:G2QHA0	ATPase, P type cation/copper-transporter	Heavy-metal-associated domain	E1-E2_ATPase,HMA,Hydrolase
MYCTH_102849	ncbi-geneid:11510283	XP_003663933	up:G2QH28	carbohydrate-binding module family 18 protein	-	-
MYCTH_102871	ncbi-geneid:11510249	XP_003663899	up:G2QGZ4	hypothetical protein	GAL4-like Zn(II)2Cys6 (or C6 zinc) binuclear cluster DNA-binding domain	Fungal_trans,Zn_clus
MYCTH_102878	ncbi-geneid:11510236	XP_003663886	up:G2QGY1	hypothetical protein	-	-
MYCTH_102943	ncbi-geneid:11510145	XP_003663795	up:G2QGD6	hypothetical protein	alpha/beta hydrolase fold	Abhydrolase_3
MYCTH_102965	ncbi-geneid:11510054	XP_003663764	up:G2QG54	cytochrome P450-like protein	Cytochrome P450	p450
MYCTH_102971	ncbi-geneid:11510048	XP_003663758	up:G2QG48	FAD linked oxidase-like protein	Belongs to the oxygen-dependent FAD-linked oxidoreductase family	BBE,FAD_binding_4
MYCTH_102977	ncbi-geneid:11510040	XP_003663750	up:G2QG40	hypothetical protein	Major Facilitator Superfamily	MFS_1
MYCTH_102985	ncbi-geneid:11506414	XP_003663739	up:G2QG29	non-ribosomal peptide synthetase	Condensation domain	AMP-binding,Condensation,PP-binding
MYCTH_102997	ncbi-geneid:11510005	XP_003663715	up:G2QFV2	hypothetical protein	Major Facilitator Superfamily	MFS_1
MYCTH_103022	ncbi-geneid:11509876	XP_003663680	up:G2QFR7	hypothetical protein	-	Hemerythrin
MYCTH_103025	ncbi-geneid:11509873	XP_003663677	up:G2QFR4	hypothetical protein	Vitamin B6 photo-protection and homoeostasis	DUF647
MYCTH_103032	ncbi-geneid:11509907	XP_003663667	up:G2QFK0	glycoside hydrolase family 43 protein	Belongs to the glycosyl hydrolase 43 family	Glyco_hydro_43
MYCTH_103061	ncbi-geneid:11511443	XP_003665683	up:G2QJ19	polyketide synthase	polyketide synthase	ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,PP-binding,PS-DH,ketoacyl-synt
MYCTH_103070	ncbi-geneid:11511429	XP_003665669	up:G2QJ05	chitin-binding domain protein	Lytic polysaccharide mono-oxygenase, cellulose-degrading	LPMO_10
MYCTH_103080	ncbi-geneid:11511417	XP_003665657	up:G2QIZ3	Dihydrodipicolinate synthetase-like protein	Dihydrodipicolinate synthetase family	DHDPS
MYCTH_103090	ncbi-geneid:11511403	XP_003665643	up:G2QIX9	hypothetical protein	CFEM domain	CFEM
MYCTH_103096	ncbi-geneid:11511487	XP_003665637	up:G2QIS0	polyketide synthase	Enoylreductase	ADH_N,ADH_zinc_N,ADH_zinc_N_2,Acyl_transf_1,KAsynt_C_assoc,KR,Ketoacyl-synt_C,Methyltransf_12,PP-binding,PS-DH,ketoacyl-synt
MYCTH_103122	ncbi-geneid:11511359	XP_003665599	up:G2QIN2	hypothetical protein	Protein kinase subdomain-containing protein	Pkinase
MYCTH_103124	ncbi-geneid:11511355	XP_003665595	up:G2QIM8	hypothetical protein	-	DUF3246,Mid2
MYCTH_103134	ncbi-geneid:11511338	XP_003665578	up:G2QIF9	hypothetical protein	-	-
MYCTH_103164	ncbi-geneid:11511282	XP_003665522	up:G2QI88	hypothetical protein	Methyltransferase domain-containing protein	Methyltransf_23
MYCTH_103320	ncbi-geneid:11511118	XP_003665358	up:G2QKK7	hypothetical protein	Pyridine nucleotide-disulphide oxidoreductase	Pyr_redox_2
MYCTH_103330	ncbi-geneid:11511106	XP_003665346	up:G2QKJ5	hypothetical protein	Peptidase dimerisation domain	M20_dimer,Peptidase_M20,Peptidase_M28
MYCTH_103334	ncbi-geneid:11511101	XP_003665341	up:G2QKJ0	glycoside hydrolase family 76 protein	Mannan endo-1,6-alpha-mannosidase	Glyco_hydro_76
MYCTH_103379	ncbi-geneid:11511024	XP_003665264	up:G2QKB3	hypothetical protein	N-terminal domain of oxidoreductase	ADH_N_2,ADH_zinc_N
MYCTH_103537	ncbi-geneid:11507187	XP_003665081	up:G2QJT0	glycoside hydrolase family 61 protein	Glycosyl hydrolase family 61	Glyco_hydro_61
MYCTH_103571	ncbi-geneid:11507074	XP_003665046	up:G2QJP4	hypothetical protein	-	-
MYCTH_103590	ncbi-geneid:11507047	XP_003665019	up:G2QJL7	hypothetical protein	Long-chain-alcohol oxidase	GMC_oxred_C,GMC_oxred_N
MYCTH_103611	ncbi-geneid:11506933	XP_003664983	up:G2QJI1	hypothetical protein	Annexin repeats	Annexin
MYCTH_103620	ncbi-geneid:11506921	XP_003664971	up:G2QJG9	hypothetical protein	Eukaryotic protein of unknown function (DUF829)	DUF829
MYCTH_103628	ncbi-geneid:11506913	XP_003664963	up:G2QJG1	hypothetical protein	Protein tyrosine kinase	Pkinase
MYCTH_103671	ncbi-geneid:11506775	XP_003664903	up:G2QJA1	hypothetical protein	Protein of unknown function (DUF3292)	DUF3292
MYCTH_103702	ncbi-geneid:11506727	XP_003664855	up:G2QJ35	aldose epimerase-like protein	Aldose 1-epimerase	Aldose_epim
MYCTH_103794	ncbi-geneid:11511468	XP_003664728	up:G2QIA2	hypothetical protein	Fungal trichothecene efflux pump (TRI12)	MFS_1
MYCTH_103797	ncbi-geneid:11510115	XP_003667408	up:G2QP41	hypothetical protein	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	Sugar_tr
MYCTH_103818	ncbi-geneid:11510092	XP_003667385	up:G2QNW4	hypothetical protein	short chain dehydrogenase	adh_short
MYCTH_103867	ncbi-geneid:11509940	XP_003667311	up:G2QNJ3	hypothetical protein	In Between Ring fingers	IBR
MYCTH_104005	ncbi-geneid:11509613	XP_003667140	up:G2QN22	hypothetical protein	-	-
MYCTH_104059	ncbi-geneid:11509471	XP_003667076	up:G2QQG8	hypothetical protein	DEXDc2(RAD3)	DEAD_2,HBB,Helicase_C_2
MYCTH_104076	ncbi-geneid:11509371	XP_003667054	up:G2QQE6	glycerol-3-phosphate dehydrogenase	C-terminal domain of alpha-glycerophosphate oxidase(GUT2)	DAO,DAO_C,EF-hand_7
MYCTH_104102	ncbi-geneid:11509345	XP_003667028	up:G2QQC0	hypothetical protein	-	-
MYCTH_104106	ncbi-geneid:11509340	XP_003667023	up:G2QQB5	glycoside hydrolase family 3 protein	Glycosyl hydrolase	Glyco_hydro_3
MYCTH_104267	ncbi-geneid:11507133	XP_003666848	up:G2QPU0	hypothetical protein	Protein of unknown function (DUF1168)	DUF1168
MYCTH_104380	ncbi-geneid:11506837	XP_003666708	up:G2QPF0	hypothetical protein	Histone-like transcription factor (CBF/NF-Y) and archaeal histone	CBFD_NFYB_HMF,CENP-W
MYCTH_104386	ncbi-geneid:11506831	XP_003666702	up:G2QPE4	hypothetical protein	Serine aminopeptidase, S33	Abhydrolase_1,Abhydrolase_6,Hydrolase_4
MYCTH_104551	ncbi-geneid:11513692	XP_003665867	up:G2QKZ0	phy1; hypothetical protein	Belongs to the histidine acid phosphatase family(phyA)	His_Phos_2
MYCTH_104570	ncbi-geneid:11513663	XP_003665838	up:G2QKW1	glycoside hydrolase family 76 protein	Glycosyl hydrolase	Glyco_hydro_76
MYCTH_104582	ncbi-geneid:11513571	XP_003665824	up:G2QKU7	hypothetical protein	metallo-beta-lactamase	Lactamase_B
MYCTH_104628	ncbi-geneid:11513523	XP_003665776	up:G2QKP9	glycoside hydrolase family 3 protein	Glycosyl hydrolase family 3 C-terminal domain	Fn3-like,Glyco_hydro_3,Glyco_hydro_3_C
MYCTH_104665	ncbi-geneid:11511525	XP_003665734	up:G2QMU9	hypothetical protein	SET domain	SET
MYCTH_104673	ncbi-geneid:11511515	XP_003665724	up:G2QMT9	MFS sugar transporter-like protein	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family	Sugar_tr
MYCTH_104674	ncbi-geneid:11511514	XP_003665723	up:G2QMT8	glycoside hydrolase family 31 protein	Belongs to the glycosyl hydrolase 31 family	Gal_mutarotas_2,Glyco_hydro_31
MYCTH_104717	ncbi-geneid:11513190	XP_003660947	up:G2PZL6	ABC transporter-like protein	ABC transporter transmembrane region	ABC_membrane,ABC_tran
MYCTH_104726	ncbi-geneid:11509087	XP_003660929	up:G2PZJ8	NAD(P)-binding-like protein	NAD dependent epimerase dehydratase family protein	Epimerase
MYCTH_104802	ncbi-geneid:11505602	XP_003660781	up:G2Q657	Formylmethionine deformylase-like protein	-	-
MYCTH_104827	ncbi-geneid:11505408	XP_003660737	up:G2Q5Q6	glycoside hydrolase family 93 protein	bnr asp-box repeat	-
MYCTH_104887	ncbi-geneid:11508236	XP_003660636	up:G2Q4V2	hypothetical protein	-	-
MYCTH_104936	ncbi-geneid:11505826	XP_003660548	up:G2Q4A8	histidine triad-like protein	HIT domain(HNT2)	HIT
MYCTH_104945	ncbi-geneid:11512891	XP_003660526	up:G2Q3X8	hypothetical protein	Belongs to the ubiquitin-conjugating enzyme family	UQ_con
MYCTH_104959	ncbi-geneid:11505824	XP_003660489	up:G2Q3U1	hypothetical protein	-	-
MYCTH_105006	ncbi-geneid:11512981	XP_003660406	up:G2Q2Z4	hypothetical protein	BRO1-like domain(BRO1)	ALIX_LYPXL_bnd,BRO1
MYCTH_105063	ncbi-geneid:11508326	XP_003660318	up:G2Q240	hypothetical protein	Glycosyl transferase family, helical bundle domain(TRP4)	Glycos_trans_3N,Glycos_transf_3
MYCTH_105072	ncbi-geneid:11508367	XP_003660292	up:G2Q214	hypothetical protein	Cyclin(CLG1)	Cyclin
MYCTH_105128	ncbi-geneid:11514351	XP_003666214	up:G2QLY9	carbohydrate esterase family 3 protein	GDSL-like Lipase/Acylhydrolase family	Lipase_GDSL_2
MYCTH_105130	ncbi-geneid:11514348	XP_003666211	up:G2QLY6	hypothetical protein	-	-
MYCTH_105157	ncbi-geneid:11514301	XP_003666164	up:G2QLT9	hypothetical protein	Src homology 3 domains	SH3_9
MYCTH_105197	ncbi-geneid:11514153	XP_003666094	up:G2QLL9	zinc finger-like protein	AN1-like Zinc finger	zf-AN1
MYCTH_105286	ncbi-geneid:11513830	XP_003665927	up:G2QL50	hypothetical protein	transcription, DNA-templated(RBF1)	FAR1
MYCTH_105318	ncbi-geneid:11508624	XP_003660059	up:G2PZZ0	hypothetical protein	-	-
MYCTH_105405	ncbi-geneid:11511676	XP_003660208	up:G2Q164	hypothetical protein	Binds to the 23S rRNA(RPL37B)	Ribosomal_L37e
MYCTH_105482	ncbi-geneid:11506234	XP_003666434	up:G2QMK9	polyketide synthase	polyketide synthase	Acyl_transf_1,KAsynt_C_assoc,Ketoacyl-synt_C,PP-binding,PS-DH,SAT,Thioesterase,ketoacyl-synt
MYCTH_105575	ncbi-geneid:11513264	XP_003658417	up:G2Q0A9	ammonium transporter	Ammonium transporter(MEP1)	Ammonium_transp
MYCTH_105600	ncbi-geneid:11513361	XP_003658466	up:G2Q0S1	hypothetical protein	RTC4-like domain	RTC4
MYCTH_105650	ncbi-geneid:11512848	XP_003658549	up:G2Q1B2	hypothetical protein	Belongs to the ubiquitin-conjugating enzyme family	UQ_con
MYCTH_105669	ncbi-geneid:11508446	XP_003658586	up:G2Q1Q7	hypothetical protein	bromo domain	Bromodomain
MYCTH_105777	ncbi-geneid:11509010	XP_003658750	up:G2Q342	hypothetical protein	zinc finger	zf-C2H2
MYCTH_105786	ncbi-geneid:11508651	XP_003658764	up:G2Q356	hypothetical protein	Chromatin modification-related protein	ING
MYCTH_105822	ncbi-geneid:11505371	XP_003658825	up:G2Q3M4	hypothetical protein	RNA recognition motif. (a.k.a. RRM, RBD, or RNP domain)	RRM_1
MYCTH_105847	ncbi-geneid:11511558	XP_003658868	up:G2Q424	acetyl-CoA C-acetyltransferase	Belongs to the thiolase family(ERG10)	Thiolase_C,Thiolase_N
MYCTH_105869	ncbi-geneid:11513355	XP_003658902	up:G2Q4G4	hypothetical protein	Essential protein Yae1, N terminal(YAE1)	Yae1_N
MYCTH_105966	ncbi-geneid:11508460	XP_003659082	up:G2Q5W1	hypothetical protein	-	-
MYCTH_10609	ncbi-geneid:11510996	XP_003665236	up:G2QK85	histone acetyltransferase SAS2-like protein	Belongs to the MYST (SAS MOZ) family(SAS2)	MOZ_SAS
MYCTH_106293	ncbi-geneid:11509155	XP_003659647	up:G2Q3P9	hypothetical protein	SLA1 homology domain 1, SHD1	DUF1720,SH3_1,SHD1
MYCTH_106343	ncbi-geneid:11512821	XP_003659727	up:G2Q487	hypothetical protein	aldehyde reductase	-
MYCTH_106346	ncbi-geneid:11508842	XP_003659737	up:G2Q497	hypothetical protein	Male sterility protein	3Beta_HSD
MYCTH_106388	ncbi-geneid:11511664	XP_003659839	up:G2Q556	hypothetical protein	Belongs to the sirtuin family. Class I subfamily(HST2)	SIR2
MYCTH_106442	ncbi-geneid:11513201	XP_003659948	up:G2Q626	inorganic pyrophosphatase-like protein	-	RGS
MYCTH_106463	ncbi-geneid:11512993	XP_003659989	up:G2Q6H2	hypothetical protein	Ribosomal protein L24e	-
MYCTH_106502	ncbi-geneid:11512494	XP_003662441	up:G2Q9A4	hypothetical protein	-	-
MYCTH_106527	ncbi-geneid:11512452	XP_003662399	up:G2Q910	histidine kinase	PAS fold	HATPase_c,HisKA,PAS,PAS_4,PAS_9,Response_reg
MYCTH_106599	ncbi-geneid:11512324	XP_003662271	up:G2Q8C3	hypothetical protein	-	-
MYCTH_106609	ncbi-geneid:11512309	XP_003662256	up:G2Q8A8	hypothetical protein	MYND finger	zf-MYND
MYCTH_106618	ncbi-geneid:11512297	XP_003662244	up:G2Q842	hypothetical protein	RNA helicase (UPF2 interacting domain)(NAM7)	AAA_11,AAA_12,ResIII,UPF1_Zn_bind
MYCTH_106768	ncbi-geneid:11510812	XP_003662007	up:G2QAX0	Nitroreductase-like protein	Nitroreductase family(FRM2)	Nitroreductase
MYCTH_106798	ncbi-geneid:11510764	XP_003661959	up:G2QAL8	hypothetical protein	Phospholipase/Carboxylesterase	Abhydrolase_2
MYCTH_106819	ncbi-geneid:11510731	XP_003661926	up:G2QAD1	glycoside hydrolase family 72 protein	Splits internally a 1,3-beta-glucan molecule and transfers the newly generated reducing end (the donor) to the non- reducing end of another 1,3-beta-glucan molecule (the acceptor) forming a 1,3-beta linkage, resulting in the elongation of 1,3- beta-glucan chains in the cell wall	Glyco_hydro_72,X8
MYCTH_106827	ncbi-geneid:11510713	XP_003661908	up:G2QAB3	hypothetical protein	Acetyltransferase (GNAT) domain	Acetyltransf_1,Acetyltransf_10
MYCTH_106950	ncbi-geneid:11510454	XP_003661649	up:G2Q9E5	hypothetical protein	Protein of unknown function (DUF1777)	DUF1777
MYCTH_107095	ncbi-geneid:11512055	XP_003661376	up:G2Q7X4	hypothetical protein	-	-
MYCTH_10713	ncbi-geneid:11511448	XP_003665688	up:G2QJ24	glycosyltransferase family 2 protein	Glycosyl transferase family 21	Chitin_synth_2,Glyco_tranf_2_3,Glyco_trans_2_3
MYCTH_107134	ncbi-geneid:11511984	XP_003661305	up:G2Q7K2	hypothetical protein	SET domain	SET
MYCTH_107142	ncbi-geneid:11511970	XP_003661291	up:G2Q7D5	hypothetical protein	Ran-binding domain	NUP50,Ran_BP1
MYCTH_107168	ncbi-geneid:11511926	XP_003661247	up:G2Q791	hypothetical protein	-	-
MYCTH_107178	ncbi-geneid:11511907	XP_003661228	up:G2QB45	glycoside hydrolase family 16 protein	Glycosyl hydrolases family 16	Glyco_hydro_16
MYCTH_107186	ncbi-geneid:11512526	XP_003661202	up:G2QB19	hypothetical protein	-	-
MYCTH_107255	ncbi-geneid:11511771	XP_003661092	up:G2QAF1	hypothetical protein	WD domain, G-beta repeat	WD40
MYCTH_107295	ncbi-geneid:11509717	XP_003663605	up:G2QDP9	fungal transcriptional regulatory-like protein	Aflatoxin regulatory protein	AflR
MYCTH_107458	ncbi-geneid:11507875	XP_003663249	up:G2QBR1	hypothetical protein	U3 snoRNA associated	U3_snoRNA_assoc
MYCTH_107520	ncbi-geneid:11507790	XP_003663164	up:G2QBH6	hypothetical protein	Domain of unknown function (DUF4211)	DUF4211
MYCTH_107580	ncbi-geneid:11507685	XP_003663059	up:G2QEN1	ABC transporter-like protein	ABC transporter transmembrane region(hmt1)	ABC_membrane,ABC_tran
MYCTH_107689	ncbi-geneid:11507492	XP_003662866	up:G2QE38	hypothetical protein	SET (Su(var)3-9, Enhancer-of-zeste, Trithorax) domain	SET
MYCTH_107723	ncbi-geneid:11507427	XP_003662801	up:G2QDU7	hypothetical protein	Catalytic component of the histone acetylase B (HAT-B) complex. Has intrinsic substrate specificity that modifies lysine in recognition sequence GXGKXG. Involved in DNA double-strand break repair(HAT1)	Acetyltransf_1,Hat1_N
MYCTH_107763	ncbi-geneid:11507363	XP_003662737	up:G2QDI0	general substrate transporter-like protein	-	-
MYCTH_107796	ncbi-geneid:11512760	XP_003662684	up:G2QD73	hypothetical protein	Nuclear chaperone required for maturation and nuclear export of pre-60S ribosome subunits	AAA_5
MYCTH_107866	ncbi-geneid:11509851	XP_003662567	up:G2QCJ9	glycoside hydrolase family 25 protein	Glycosyl hydrolases family 25	Glyco_hydro_25
MYCTH_107891	ncbi-geneid:11512594	XP_003662518	up:G2QC98	hypothetical protein	Prp19/Pso4-like	ANAPC4_WD40,Prp19,U-box,WD40
MYCTH_107972	ncbi-geneid:11506118	XP_003664590	up:G2QG85	hypothetical protein	Eukaryotic domain of unknown function (DUF1716)	CTNNBL
MYCTH_107976	ncbi-geneid:11506106	XP_003664578	up:G2QG73	methyltransferase-like protein	Methyltransferase domain	Methyltransf_11,Methyltransf_25
MYCTH_108044	ncbi-geneid:11514370	XP_003664427	up:G2QFF3	MFS sugar transporter-like protein	Belongs to the major facilitator superfamily. Sugar transporter (TC 2.A) family(HGT1)	Sugar_tr
MYCTH_108061	ncbi-geneid:11514258	XP_003664393	up:G2QFB9	hypothetical protein	-	-
MYCTH_108098	ncbi-geneid:11514106	XP_003664319	up:G2QF45	hypothetical protein	-	-
MYCTH_108115	ncbi-geneid:11514067	XP_003664280	up:G2QF06	3-ketoacyl-CoA thiolase	Belongs to the thiolase family(POT1)	Thiolase_C,Thiolase_N
MYCTH_108157	ncbi-geneid:11513921	XP_003664212	up:G2QET8	hypothetical protein	NDT80 / PhoG like DNA-binding  family	NDT80_PhoG
MYCTH_108294	ncbi-geneid:11506440	XP_003663986	up:G2QH81	cytochrome P450-like protein	Belongs to the cytochrome P450 family	p450
MYCTH_108304	ncbi-geneid:11506422	XP_003663969	up:G2QH64	hypothetical protein	Domain of unknown function (DUF3437)(BLM3)	BLM10_N,BLM10_mid,DUF3437
